Id,Incident_Status_Id,Reassignment_Count,Reopen_Count,Made_SLA,Created_By,Created_At,Assigned_To,Updated_By,Updated_At,Resolved_By,Resolved_At,Category,Urgency,Priority
INC0000057,6,0,0,TRUE,8,2/29/2016 6:10,6,908,6/3/2016 3:00,13,6/3/2016 3:00,1,2 - Medium,5 - Very Low
INC0000060,6,0,0,TRUE,180,2/29/2016 6:38,125,908,7/3/2016 13:00,23,7/3/2016 13:00,6,2 - Medium,3 - Moderate
INC0000064,6,1,0,TRUE,131,2/29/2016 7:10,78,908,8/3/2016 17:00,71,3/3/2016 16:00,6,2 - Medium,3 - Moderate
INC0000070,6,1,0,TRUE,131,2/29/2016 8:11,31,135,8/3/2016 9:55,30,8/3/2016 9:55,5,2 - Medium,3 - Moderate
INC0000071,6,0,0,TRUE,180,2/29/2016 8:12,249,908,6/3/2016 11:00,99,6/3/2016 11:00,3,2 - Medium,3 - Moderate
INC0000074,6,0,0,TRUE,433,2/29/2016 8:23,193,713,11/4/2016 14:39,158,11/4/2016 14:39,9,2 - Medium,3 - Moderate
INC0000079,6,1,0,TRUE,180,2/29/2016 8:32,180,908,5/3/2016 12:00,163,2/29/2016 11:20,4,2 - Medium,3 - Moderate
INC0000084,6,0,0,TRUE,433,2/29/2016 8:39,175,713,12/4/2016 14:46,158,12/4/2016 14:46,6,3 - Low,4 - Low
INC0000089,6,3,0,TRUE,180,2/29/2016 8:51,216,908,8/3/2016 15:00,197,3/3/2016 14:35,3,3 - Low,4 - Low
INC0000094,6,0,0,TRUE,433,2/29/2016 8:58,193,804,10/3/2016 10:45,184,10/3/2016 10:45,1,3 - Low,4 - Low
INC0000101,6,0,0,TRUE,180,2/29/2016 9:05,180,908,5/3/2016 12:00,36,5/3/2016 12:00,3,3 - Low,4 - Low
INC0000102,4,4,0,TRUE,131,2/29/2016 9:06,31,507,11/3/2016 11:53,0,1/1/1912 0:00,8,2 - Medium,3 - Moderate
INC0000113,6,0,0,TRUE,24,2/29/2016 9:18,227,908,7/3/2016 20:00,65,7/3/2016 20:00,5,2 - Medium,3 - Moderate
INC0000119,6,0,0,TRUE,180,2/29/2016 9:22,89,908,6/3/2016 10:00,122,6/3/2016 10:00,1,2 - Medium,3 - Moderate
INC0000124,6,0,0,TRUE,40,2/29/2016 9:30,159,908,5/3/2016 12:00,83,5/3/2016 12:00,2,2 - Medium,3 - Moderate
INC0000128,6,2,0,TRUE,131,2/29/2016 9:36,99,344,11/3/2016 12:15,89,11/3/2016 12:15,3,2 - Medium,3 - Moderate
INC0000129,4,1,0,TRUE,180,2/29/2016 9:40,253,135,9/3/2016 11:13,0,1/1/1912 0:00,3,2 - Medium,3 - Moderate
INC0000130,6,1,0,TRUE,62,2/29/2016 9:41,198,908,8/3/2016 11:00,180,3/3/2016 10:16,6,2 - Medium,3 - Moderate
INC0000131,6,0,0,TRUE,433,2/29/2016 9:41,175,908,8/3/2016 10:00,119,8/3/2016 10:00,8,2 - Medium,3 - Moderate
INC0000132,6,2,0,TRUE,131,2/29/2016 9:42,135,908,8/3/2016 16:00,121,3/3/2016 15:18,7,2 - Medium,3 - Moderate
INC0000134,6,1,0,TRUE,501,2/29/2016 9:44,198,908,8/3/2016 9:00,180,3/3/2016 8:21,6,3 - Low,4 - Low
INC0000135,6,0,0,TRUE,40,2/29/2016 9:45,216,908,5/3/2016 17:00,111,5/3/2016 17:00,4,2 - Medium,3 - Moderate
INC0000140,6,1,0,TRUE,180,2/29/2016 9:51,125,908,8/3/2016 12:00,113,3/3/2016 11:59,1,2 - Medium,3 - Moderate
INC0000147,1,1,0,TRUE,40,2/29/2016 10:00,125,465,8/3/2016 13:32,0,1/1/1912 0:00,6,2 - Medium,3 - Moderate
INC0000152,6,0,0,TRUE,180,2/29/2016 10:08,201,908,8/3/2016 10:00,19,8/3/2016 10:00,10,2 - Medium,3 - Moderate
INC0000160,6,0,0,TRUE,40,2/29/2016 10:18,175,908,5/3/2016 11:00,55,5/3/2016 11:00,9,2 - Medium,3 - Moderate
INC0000161,4,2,0,TRUE,180,2/29/2016 10:18,31,135,8/3/2016 9:22,0,1/1/1912 0:00,4,3 - Low,4 - Low
INC0000166,6,0,0,TRUE,501,2/29/2016 10:24,170,908,5/3/2016 17:00,121,5/3/2016 17:00,2,2 - Medium,3 - Moderate
INC0000167,6,0,0,TRUE,24,2/29/2016 10:27,17,908,5/3/2016 12:00,81,5/3/2016 12:00,5,2 - Medium,3 - Moderate
INC0000168,6,0,0,TRUE,131,2/29/2016 10:27,89,908,6/3/2016 10:00,55,6/3/2016 10:00,6,2 - Medium,3 - Moderate
INC0000171,6,4,0,FALSE,180,2/29/2016 10:33,149,908,3/24/2016 18:59,133,3/18/2016 13:44,8,2 - Medium,2 - High
INC0000172,6,1,0,TRUE,180,2/29/2016 10:36,188,908,5/3/2016 19:00,171,2/29/2016 18:24,8,2 - Medium,3 - Moderate
INC0000173,4,1,0,TRUE,4,2/29/2016 10:36,4,15,11/4/2016 14:49,0,1/1/1912 0:00,10,2 - Medium,4 - Low
INC0000179,6,0,0,TRUE,40,2/29/2016 10:46,236,908,7/3/2016 10:00,69,7/3/2016 10:00,10,2 - Medium,3 - Moderate
INC0000197,1,3,0,TRUE,131,2/29/2016 11:02,170,881,9/3/2016 8:24,0,1/1/1912 0:00,5,2 - Medium,3 - Moderate
INC0000199,6,0,0,TRUE,301,2/29/2016 11:06,149,908,5/3/2016 12:00,29,5/3/2016 12:00,10,3 - Low,4 - Low
INC0000207,6,0,0,TRUE,131,2/29/2016 11:19,26,908,5/3/2016 21:00,90,5/3/2016 21:00,2,2 - Medium,3 - Moderate
INC0000211,6,0,0,TRUE,180,2/29/2016 11:23,94,908,8/3/2016 7:00,11,8/3/2016 7:00,5,2 - Medium,3 - Moderate
INC0000217,6,2,0,TRUE,301,2/29/2016 11:48,31,135,8/3/2016 9:27,30,8/3/2016 9:27,7,2 - Medium,3 - Moderate
INC0000220,6,1,0,TRUE,40,2/29/2016 11:56,69,241,9/3/2016 17:24,62,9/3/2016 17:24,2,2 - Medium,3 - Moderate
INC0000223,6,1,0,TRUE,40,2/29/2016 12:01,176,908,8/3/2016 9:00,159,3/3/2016 8:57,9,2 - Medium,3 - Moderate
